LPT nnnnn.nnnn
        YYYYMMDDHH _A_[km2] cen_lat.__ cen_lon.__ Nobj
LPT     0.0100
        2000062209  2622899       2.13     140.34  1
        2000062212  2803003       2.05     140.28  1
        2000062215  2983159       1.98     140.18  1
        2000062218  4457504       1.35     134.55  1
        2000062221  4740480       1.42     134.16  1
        2000062300  4835790       1.51     133.99  1
        2000062303  4921766       1.57     133.91  1
        2000062306  4992582       1.58     133.54  1
        2000062309  5024291       1.59     133.32  1
        2000062312  5021478       1.56     133.59  1
        2000062315  5204466       1.40     134.18  1
        2000062318  5630117       0.91     135.95  1
        2000062321  6059923       0.24     138.28  1
        2000062400  6284923      -0.27     139.85  1
        2000062403  6460082      -0.58     140.94  1
        2000062406  6380705      -0.82     141.63  1
        2000062409  6189703      -1.18     142.36  1
        2000062412  6007412      -1.54     143.31  1
        2000062415  5851630      -1.92     144.21  1
        2000062418  5575689      -2.36     145.36  1
        2000062421  1922460       1.57     126.72  1
        2000062500  1761384       1.44     126.63  1
        2000062503  1670395       1.38     126.55  1
        2000062506  1652596       1.38     126.41  1
        2000062509  1594092       1.31     126.34  1
        2000062512  1578107       1.09     126.42  1
        2000062515  1573538       1.03     126.44  1
        2000062518  1610627       0.94     126.74  1
        2000062521  1730120       0.98     126.99  1
        2000062600  1687792       0.92     127.16  1
        2000062603  1679277       1.03     127.37  1
        2000062606  1632999       1.17     127.61  1
        2000062609  1548987       1.21     128.01  1
        2000062612  1532048       1.22     128.39  1
        2000062615  1653893       1.23     128.70  1
        2000062618  1691702       1.26     128.85  1
        2000062621  1767316       1.24     129.12  1
        2000062700  1757286       1.28     129.36  1
        2000062703  1821242       1.36     129.62  1
        2000062706  1890510       1.49     129.69  1
        2000062709  1958304       1.56     129.67  1
        2000062712  2080077       1.63     129.88  1
        2000062715  2221853       1.73     130.06  1
        2000062718  2382278       1.78     130.49  1
        2000062721  2601279       1.80     131.05  1
        2000062800  2837581       1.74     132.38  1
        2000062803  3201760       1.76     134.09  1
        2000062806  3725584       1.71     136.03  1
        2000062809  4066371       1.70     137.42  1
        2000062812  4329003       1.71     138.35  1
        2000062815  4635089       1.80     139.12  1
        2000062818  5022566       1.76     140.06  1
        2000062821  5168028       1.83     140.41  1
        2000062900  5225107       1.81     141.06  1
        2000062903  5351877       1.90     141.30  1
        2000062906  5472658       1.93     141.43  1
        2000062909  5548243       1.96     141.51  1
